URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
blackassign0035,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,22,9,0.419354825,0.000572108,20.46341463,0.023716275,8.194852364,20.46341463,109,348,1.430481283,7,5.27148704
blackassign0036,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0,0,0,0,5,0,2,5,0,2,1,0,5.5
blackassign0037,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,35,9,0.590909077,0.000841751,26.53333333,0.027238276,10.62422864,26.53333333,115,318,1.428374656,2,5.015669516
blackassign0038,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,70,31,0.38613861,0.000181116,36.15151515,0.030830281,14.47293817,36.15151515,404,969,1.57394844,10,5.146810507
blackassign0039,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,52,42,0.106382978,5.82E-05,25.49425287,0.028817461,10.20922813,25.49425287,338,960,1.595075956,1,5.420361248
blackassign0040,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,41,16,0.438596484,0.000379737,31.7,0.035173299,12.69406932,31.7,274,568,1.717863105,10,5.745454545
blackassign0041,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,33,23,0.178571425,0.00014881,21.35384615,0.029712163,8.553423327,21.35384615,224,601,1.537289495,6,5.283333333
blackassign0042,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,61,23,0.452380947,0.000279247,58.06666667,0.025400388,23.23682682,58.06666667,249,664,1.423349057,32,5.051851852
blackassign0043,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,57,17,0.540540533,0.000359881,32.80769231,0.031156505,13.13553952,32.80769231,302,715,1.557314756,11,5.454061252
blackassign0044,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,20,0,0.99999995,0.002008032,32.88235294,0.033727811,13.1664323,32.88235294,114,260,1.715384615,0,5.789156627
blackassign0045,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,99,37,0.45588235,0.000252287,236.875,0.029736619,94.76189465,236.875,315,714,1.482315113,16,4.862755949
blackassign0046,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,22,0,0.999999955,0.001375516,32.44,0.035180114,12.99007205,32.44,167,343,1.588772846,0,5.530949106
blackassign0047,https://insights.blackcoffer.com/evolution-of-advertising-industry/,12,6,0.333333315,0.000485909,40.63157895,0.03743088,16.26760393,40.63157895,176,353,1.653631285,0,5.855685131
blackassign0048,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,2,3,-0.19999996,-0.001136363,101.5,0.028712059,40.61148482,101.5,35,91,1.473684211,2,5.931818182
blackassign0049,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,0,0,0,0,5,0,2,5,0,2,1,0,5.5
blackassign0050,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,33,62,-0.305263155,-0.000223309,37.7,0.029572075,15.09182883,37.7,255,657,1.44822695,2,5.308705194
blackassign0051,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,19,9,0.357142844,0.000493974,33.5,0.030637531,13.41225501,33.5,136,327,1.495302013,5,5.141078838
blackassign0052,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,63,24,0.448275857,0.000239208,24.82352941,0.029238221,9.941107053,24.82352941,332,793,1.5,10,5.059765208
blackassign0053,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,43,1,0.954545433,0.001486831,25.82142857,0.029760465,10.34047561,25.82142857,123,325,1.563063063,4,5.439252336
blackassign0054,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,8,1,0.777777691,0.0020908,32.07692308,0.029590949,12.84260561,32.07692308,68,175,1.579896907,0,5.180107527
blackassign0055,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,22,5,0.629629606,0.000800038,51.58823529,0.031914894,20.64806008,51.58823529,156,347,1.515662651,4,5.212198221
blackassign0056,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,12,8,0.19999999,0.000430108,52.9,0.035133377,21.17405335,52.9,108,239,1.716904277,1,5.612903226
blackassign0057,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,18,6,0.499999979,0.001298701,18.91304348,0.033169533,7.578485205,18.91304348,81,163,1.63496144,0,5.345454545
blackassign0058,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,6,0,0.999999833,0.006289307,22.5,0.031309298,9.012523719,22.5,33,79,1.704402516,1,5.635220126
blackassign0059,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,21,25,-0.08695652,-0.000107753,17.30909091,0.024795125,6.933554414,17.30909091,118,346,1.463473054,19,4.898389095
blackassign0060,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,9,2,0.636363579,0.003515821,40.2,0.025664528,16.09026581,40.2,28,82,1.47027027,1,5.033149171
blackassign0061,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,38,7,0.688888874,0.001035923,37.1,0.039416376,14.85576655,37.1,181,365,1.747460087,0,5.906766917
blackassign0062,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,2,6,-0.499999938,-0.003184713,29.5,0.03183315,11.81273326,29.5,29,69,1.358024691,5,4.808917197
blackassign0063,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,8,21,-0.448275847,-0.001173497,23.22222222,0.027877698,9.300039968,23.22222222,62,151,1.523076923,6,4.82460733
blackassign0064,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,28,37,-0.138461536,-8.20E-05,38.5,0.036472267,15.41458891,38.5,409,807,1.685354691,16,5.643957346
blackassign0065,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,50,23,0.369863009,0.000214662,46.325,0.028334148,18.54133366,46.325,290,695,1.455932203,20,4.940800929
blackassign0066,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,38,20,0.310344822,0.000214475,23.43661972,0.027495722,9.385646176,23.43661972,241,672,1.459459459,18,5.05805114
blackassign0067,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,21,2,0.826086921,0.000966184,17.54545455,0.028203556,7.029463241,17.54545455,138,325,1.348173516,1,4.723976608
blackassign0068,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,47,5,0.807692292,0.000573238,26.45901639,0.029430026,10.59537857,26.45901639,237,527,1.368348307,4,4.716110717
blackassign0069,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,24,6,0.59999998,0.001276596,37.92857143,0.034671533,15.18529718,37.92857143,95,185,1.577731092,8,4.831914894
blackassign0070,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,41,10,0.607843125,0.000389393,42.85365854,0.032737798,17.15455853,42.85365854,328,749,1.615479115,7,5.418962204
blackassign0071,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,26,56,-0.365853654,-0.000379516,19.36206897,0.027302018,7.755748393,19.36206897,161,425,1.517647059,11,5.118257261
blackassign0072,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,55,14,0.59420289,0.000511803,22.30508475,0.023324476,8.931363689,22.30508475,158,489,1.3575,5,4.835486649
blackassign0073,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,22,29,-0.137254899,-0.000136436,40.92592593,0.025,16.38037037,40.92592593,152,457,1.361784675,5,5.04473161
blackassign0074,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,27,16,0.255813948,0.000242938,31.78947368,0.031299354,12.72830922,31.76315789,218,509,1.568202349,8,5.615384615
blackassign0075,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,25,60,-0.411764701,-0.000413834,19,0.027535037,7.611014015,19,167,442,1.516714422,13,5.096482412
blackassign0076,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,21,9,0.399999987,0.00060423,38.84210526,0.027627035,15.54789292,38.84210526,112,284,1.373722628,5,5.125377644
blackassign0077,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,6,3,0.333333296,0.001129943,33.2,0.027086788,13.29083472,33.2,49,134,1.53820598,0,5.13559322
blackassign0078,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,24,13,0.297297289,0.000404486,45.38888889,0.030571368,18.1677841,45.38888889,145,363,1.578042328,0,5.454421769
blackassign0079,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,22,25,-0.063829786,-5.39E-05,40.57575758,0.030490209,16.24249911,40.57575758,232,552,1.487117552,6,5.427364865
blackassign0080,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,33,10,0.534883708,0.000165292,163.0434783,0.028044035,65.22860892,163.0434783,591,1571,1.300850947,2,5.512669963
blackassign0081,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,34,39,-0.06849315,-3.98E-05,30.40322581,0.027665381,12.17235647,30.40322581,294,761,1.471355644,12,5.18266434
blackassign0082,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,27,47,-0.270270267,-0.00018499,34.20833333,0.039728981,13.69922493,34.20833333,387,791,1.673128342,1,5.668035592
blackassign0083,https://insights.blackcoffer.com/human-rights-outlook/,3,1,0.499999875,0.003597121,39.75,0.026713124,15.91068525,39.75,23,65,1.493421053,2,5.201438849
blackassign0084,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,35,4,0.794871774,0.000962314,32.7,0.028263795,13.09130552,32.7,147,404,1.549019608,2,5.297820823
blackassign0085,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,36,30,0.09090909,5.03E-05,19.38834951,0.023870262,7.764887911,19.38834951,262,728,1.346883469,6,5.074709463
blackassign0086,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,47,14,0.540983598,0.000331282,28.33333333,0.035662229,11.34759822,28.33333333,367,783,1.554195804,5,5.302510716
blackassign0087,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,28,28,0,0,33.45714286,0.026650329,13.39351727,33.45714286,174,460,1.469444444,3,5.248803828
blackassign0088,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,17,41,-0.413793096,-0.000246893,49.83783784,0.031493919,19.9477327,49.83783784,347,843,1.51189128,1,5.574582339
blackassign0089,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,14,36,-0.439999991,-0.000468584,33.96774194,0.030195682,13.59917505,33.96774194,179,436,1.490296221,5,5.314164004
blackassign0090,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,37,38,-0.013333333,-1.11E-05,20.53846154,0.028818043,8.226911832,20.53846154,207,497,1.456861134,35,4.966777409
blackassign0091,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,28,24,0.076923075,7.02E-05,39,0.031629441,15.61265178,39,211,458,1.539838854,12,5.087591241
blackassign0092,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,18,32,-0.279999994,-0.000254545,50.84,0.030448926,20.34817957,50.84,234,565,1.538273616,3,5.987272727
blackassign0093,https://insights.blackcoffer.com/travel-and-tourism-outlook/,4,2,0.333333278,0.00184162,34.5,0.027372263,13.81094891,34.5,30,84,1.464285714,2,5.060773481
blackassign0094,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,28,41,-0.188405794,-0.000166143,26.85106383,0.026701878,10.75110628,26.85106383,182,507,1.39810834,13,5.011463845
blackassign0095,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,11,22,-0.333333323,-0.000544662,39.38888889,0.027615911,15.76660192,39.38888889,109,314,1.447368421,4,5.450980392
blackassign0096,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,28,50,-0.282051278,-0.000252282,27.52272727,0.031009918,11.02149488,27.52272727,222,537,1.507826087,4,5.404293381
blackassign0097,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,29,31,-0.033333333,-3.12E-05,45.76923077,0.023775559,18.31720253,45.76923077,150,418,1.359417652,6,4.897196262
blackassign0098,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,1,0,0.999999,0.00675675,58.66666667,0.042168675,23.48353414,58.66666667,42,77,1.653333333,0,5.736486486
blackassign0099,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,19,2,0.809523771,0.001539019,29.95,0.022304833,11.98892193,29.95,72,238,1.462522852,2,5.13878327
blackassign0100,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,31,42,-0.150684929,-0.000165044,53.89473684,0.029391777,21.56965145,53.89473684,173,422,1.508900524,3,5.447973713
